country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"DTU, Delhi - CPCB","21-02-2025 14:00:00",28.7500499,77.1112615,PM2.5,30,103,60
India,Delhi,Delhi,"DTU, Delhi - CPCB","21-02-2025 14:00:00",28.7500499,77.1112615,NO2,27,50,34
India,Delhi,Delhi,"DTU, Delhi - CPCB","21-02-2025 14:00:00",28.7500499,77.1112615,CO,22,46,34
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","21-02-2025 14:00:00",28.5504249,77.2159377,CO,10,60,45
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","21-02-2025 14:00:00",28.710508,77.249485,NH3,7,11,8
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","21-02-2025 14:00:00",28.710508,77.249485,CO,30,186,186
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","21-02-2025 14:00:00",28.531346,77.190156,NH3,7,9,8
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","21-02-2025 14:00:00",28.5710274,77.0719006,PM10,95,336,142
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","21-02-2025 14:00:00",28.5627763,77.1180053,OZONE,5,84,29
India,Delhi,Delhi,"ITO, Delhi - CPCB","21-02-2025 14:00:00",28.628624,77.241060,PM10,63,227,108
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","21-02-2025 14:00:00",28.623763,77.287209,OZONE,2,173,151
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","21-02-2025 14:00:00",28.674045,77.131023,PM10,91,249,137
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","21-02-2025 14:00:00",28.674045,77.131023,NO2,28,63,49
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","21-02-2025 14:00:00",28.674045,77.131023,SO2,1,36,18
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","21-02-2025 14:00:00",28.570173,76.933762,CO,36,56,47
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","21-02-2025 14:00:00",28.567890,77.250515,PM2.5,NA,NA,NA
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","21-02-2025 14:00:00",28.6573814,77.1585447,CO,11,57,37
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","21-02-2025 14:00:00",28.732820,77.170633,NH3,9,15,13
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","21-02-2025 14:00:00",28.580280,77.233829,OZONE,18,87,34
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","21-02-2025 14:00:00",23.221714,72.654328,SO2,3,4,4
India,Gujarat,Surat,"Science Center, Surat - SMC","21-02-2025 14:00:00",21.170046,72.795405,SO2,42,52,47
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","21-02-2025 14:00:00",20.362421,72.918013,PM2.5,33,287,104
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","21-02-2025 14:00:00",22.969611,72.643500,PM10,12,158,124
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","21-02-2025 14:00:00",22.969611,72.643500,OZONE,1,3,1
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","21-02-2025 14:00:00",28.593883,76.270653,PM10,NA,NA,NA
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","21-02-2025 14:00:00",28.593883,76.270653,NH3,NA,NA,NA
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","21-02-2025 14:00:00",23.80569,86.44268,NO2,120,121,121
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","21-02-2025 14:00:00",15.888653,74.541751,CO,NA,NA,NA
